Source_name,Species,Condition,Tissue,Source_type
Sample_BMT637MigR1IMEP_IGO_06212_B_1,Mouse,MigR1,MEP,Normal
Sample_BMT637MigR1IIMEP_IGO_06212_B_2,Mouse,MigR1,MEP,Normal
Sample_BMT637MigR1IIIMEP_IGO_06212_B_3,Mouse,MigR1,MEP,Normal
Sample_BMT637MPLIMEP_IGO_06212_B_7,Mouse,MPL,MEP,Tumor
Sample_BMT637MPLIIMEP_IGO_06212_B_8,Mouse,MPL,MEP,Tumor
Sample_BMT637MPLIIIMEP_IGO_06212_B_9,Mouse,MPL,MEP,Tumor
Sample_BMT637MigR1ICD11B_IGO_06212_B_4,Mouse,MigR1,CD11b,Normal
Sample_BMT637MigR1IICD11B_IGO_06212_B_5,Mouse,MigR1,CD11b,Normal
Sample_BMT637MigR1IIICD11B_IGO_06212_B_6,Mouse,MigR1,CD11b,Normal
Sample_BMT637MPLICD11B_IGO_06212_B_10,Mouse,MPL,CD11b,Tumor
Sample_BMT637MPLIICD11B_IGO_06212_B_11,Mouse,MPL,CD11b,Tumor
Sample_BMT637MPLIIICD11B_IGO_06212_B_12,Mouse,MPL,CD11b,Tumor
